Met_station,Met_station_name,Met_Lat,Met_long,Met_elevation,Date (Local),Average daily wind speed,Precipitation,Snowfall,Snow depth,Temperature Average,Maximum temperature,Minimum temperature,Direction of fastest 2-minute wind,Direction of fastest 5-second wind,Fastest 2-minute wind speed,Fastest 5-second wind speed
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-22,19.91,0.0,0.0,0.0,,53,38,300,330.0,38.9,55.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-23,11.41,0.0,0.0,0.0,,56,32,300,300.0,33.1,45.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-24,13.65,0.0,0.0,0.0,,57,21,270,270.0,46.1,61.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-25,11.63,0.0,0.0,0.0,,62,27,260,250.0,33.1,40.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-26,11.18,0.03,0.0,0.0,,53,26,140,110.0,25.9,34.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-27,10.51,0.09,0.0,0.0,,52,29,140,130.0,23.9,29.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-28,8.28,0.02,0.2,0.0,,53,29,60,50.0,25.9,31.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-29,9.4,0.16,2.3,2.0,,43,28,290,300.0,23.0,31.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-30,12.53,0.0,0.0,0.0,,59,28,300,290.0,28.0,40.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-31,19.46,0.0,0.0,0.0,,69,44,290,280.0,33.1,40.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-01,10.29,0.0,0.0,0.0,,61,39,150,140.0,23.0,28.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-02,14.32,0.0,0.0,0.0,,80,36,220,220.0,40.0,59.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-03,25.5,0.0,0.0,0.0,,69,28,10,10.0,45.0,55.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-04,8.5,0.0,0.0,0.0,,48,22,360,340.0,28.0,36.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-05,8.05,0.0,0.0,0.0,,76,30,300,300.0,33.1,45.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-06,11.41,0.07,0.0,0.0,,61,39,340,160.0,30.0,38.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-07,11.86,0.0,0.0,0.0,,65,39,230,240.0,31.1,36.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-08,16.11,0.0,0.0,0.0,,71,44,210,200.0,34.9,44.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-09,18.57,0.0,0.0,0.0,,71,41,220,210.0,42.9,53.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-10,16.11,0.0,0.0,0.0,,55,32,280,300.0,31.1,40.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-11,8.5,0.0,0.0,0.0,,60,28,170,170.0,23.0,28.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-12,8.28,0.0,0.0,0.0,,69,32,30,30.0,23.0,25.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-13,8.5,0.07,0.0,0.0,,59,39,160,160.0,29.1,36.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-14,18.57,0.02,0.0,0.0,,57,34,350,360.0,36.9,44.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-15,16.55,0.0,0.0,0.0,,59,31,360,10.0,31.1,38.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-16,8.05,0.0,0.0,0.0,,64,28,20,20.0,31.1,36.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-04-17,10.96,0.0,0.0,0.0,,78,38,280,270.0,38.0,49.0
