STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT18,WT19,WT22
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-03,13.20,207,207,0.05,0.0,0.0,,65,33,270,270,23.9,38.0,1,,,,,,,,,,,1,,,1,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-04,6.71,1406,1440,0.13,0.0,0.0,,43,23,20,30,23.0,25.1,1,,,,,,,1,,,,,,,1,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-05,4.70,2251,2246,0.00,0.0,0.0,,45,20,320,300,17.0,25.9,1,1,,,,,,1,,,,1,,,,,,1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-06,7.38,1306,1306,0.00,0.0,0.0,,48,32,170,170,28.0,30.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-07,8.95,2309,2311,0.06,0.6,0.0,,36,22,140,140,17.0,19.9,1,,,,,,,1,,,,1,,,,1,,1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-08,7.38,1253,1327,0.00,0.0,1.0,,40,20,360,340,23.9,25.9,1,,,,,,,1,,,,1,,,,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-09,7.38,1248,919,0.00,0.0,0.0,,51,20,170,340,17.0,23.0,1,1,,,,,,1,,,,1,,,,,,1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-10,10.29,1702,1456,0.00,0.0,0.0,,62,24,170,150,23.9,30.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-11,10.96,529,528,0.00,0.0,0.0,,69,37,320,330,38.0,47.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-12,10.51,1340,1339,0.00,0.0,0.0,,56,32,170,170,23.0,29.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-13,6.93,1402,1407,0.00,0.0,0.0,,56,27,20,10,21.0,23.9,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-14,8.95,2244,2300,0.00,0.0,0.0,,58,22,320,310,21.0,30.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-15,11.41,1547,1536,0.00,0.0,0.0,,56,35,150,150,21.9,28.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-16,11.41,2306,2312,0.00,0.0,0.0,,75,29,180,190,28.0,38.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-17,17.45,1153,1105,0.00,0.0,0.0,,72,39,200,240,38.0,48.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-18,10.29,1508,1411,0.00,0.0,0.0,,50,31,170,160,23.0,29.1,1,,,,,,,,,,,1,,,,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-19,15.43,1448,1520,0.00,0.0,0.0,,71,24,220,210,40.9,49.0,,,,,,,,,,,,,,,,,,
